number,population,under15-man
46,16951,1239
46,17248,920
46,99589,7470
46,50822,3375
46,39221,2256
46,127487,9980
46,31144,1986
46,38704,2219
46,33034,2276
46,46121,3573
46,39065,2317
46,29304,1733
46,74809,5419
46,418,28
46,657,37
46,24109,1480
46,11105,795
46,11595,644
46,14215,841
46,6802,440
46,8987,503
46,8815,446
46,17160,953
46,8696,600
46,6218,432
46,13589,1027
46,1765,114
46,1932,114
46,9874,644
46,6078,486
46,8169,653
46,12090,1077
46,6653,544
46,6844,492
46,7114,580
46,6806,552
46,5327,388
47,315954,26163
47,91928,8483
47,46922,4405
47,110351,10962
47,60231,5409
47,57320,5499
47,130249,12689
47,57261,5855
47,116979,10765
47,52039,4469
47,39758,3345
47,5188,340
47,3221,181
47,1794,145
47,9257,686
47,13870,983
47,10144,786
47,5331,529
47,11066,945
47,4737,349
47,38200,3752
47,13827,1269
47,27264,2596
47,15951,1400
47,17680,1471
47,34766,3158
47,16318,1522
47,35244,3514
47,760,69
47,865,75
47,863,59
47,452,16
47,1442,120
47,665,54
47,1385,127
47,1589,138
47,8519,729
47,26681,2389
47,1231,143
47,3859,320
47,1657,164
